index,account_name,date,amount,currency,message,tx_type,vs,ss
0,Nextina s.r.o.,2022-10-04,-1260.0,EUR,Beáta Pribulová,Platobný príkaz na úhradu / FIT 2.0 (EB),920220001,
1,,2022-09-30,-5.0,EUR,Zverejňovanie účtu,Poplatok,,
2,,2022-09-29,-11.88,EUR,"B1377726089-44544 12** **** 4281;WWW.WEBSUPPORT.SK COMFO ,BRATISLAVA ,SK ;27.09.2022 01:39:30 ;CashBack:0 EUR",Platba kartou,,
3,Halo media s.r.o.,2022-09-21,-108.0,EUR,Beáta Pribulová,Platobný príkaz na úhradu / FIT 2.0 (EB),,
4,,2022-09-18,-1.5,EUR,"B1370090246-44544 12** **** 4281;FACEBK *LSAN5GXGC2 ,fb.me/ads ,IE ;16.09.2022 07:19:53 ;CashBack:0 EUR",Platba kartou,,
5,,2022-09-16,-1.5,EUR,"B1369833575-44544 12** **** 4281;FACEBK *XU7UGG3HC2 ,fb.me/ads ,IE ;15.09.2022 18:48:27 ;CashBack:0 EUR",Platba kartou,,
6,,2022-09-15,-1.5,EUR,"B1368147427-44544 12** **** 4281;FACEBK *EFNRMGPGC2 ,fb.me/ads ,IE ;13.09.2022 16:50:30 ;CashBack:0 EUR",Platba kartou,,
7,,2022-09-12,-11.88,EUR,"B1367241720-44544 12** **** 4281;WWW.WEBSUPPORT.SK COMFO ,BRATISLAVA ,SK ;11.09.2022 09:56:00 ;CashBack:0 EUR",Platba kartou,,
8,,2022-09-12,-5.99,EUR,"B1367248605-44544 12** **** 4281;WWW.WEBSUPPORT.SK COMFO ,BRATISLAVA ,SK ;11.09.2022 10:53:23 ;CashBack:0 EUR",Platba kartou,,
9,Arton s.r.o,2022-09-12,-20.4,EUR,Mgr. Beáta Pribulová; Pažická -tlač; 08.09.2022,Platobný príkaz na úhradu / FIT 2.0 (EB),220566,
10,Arton s.r.o,2022-09-10,-156.0,EUR,Mgr. Beáta Pribulová; Pažická -nájom; 08.09.2022,Okamžitá platba (EB),220565,
11,,2022-09-09,-4.0,EUR,"B1364308744-44544 12** **** 4281;FACEBK KJ4G7FKL82 ,fb.me/ads ,IE ;07.09.2022 15:01:11 ;CashBack:0 EUR",Platba kartou,,
