index,account_name,date,amount,currency,message,tx_type,vs,ss
0,,2022-10-31,-5.0,EUR,Zverejňovanie účtu,Poplatok,,
1,,2022-10-26,-300.0,EUR,"B1394798315-44544 12** **** 9473;FACEBK 6SC5HG7592 ,fb.me/ads ,IE ;24.10.2022 22:11:31 ;CashBack:0 EUR",Platba kartou,,
2,Petit Press,2022-10-25,-360.0,EUR,,Platobný príkaz na úhradu / FIT 2.0 (EB),2235112280,
3,Petit Press,2022-10-25,-360.0,EUR,,Platobný príkaz na úhradu / FIT 2.0 (EB),2235111941,
4,Petit Press,2022-10-19,-480.0,EUR,,Platobný príkaz na úhradu / FIT 2.0 (EB),2235111620,
5,,2022-10-18,-300.0,EUR,"B1389544734-44544 12** **** 9473;FACEBK TEMS3GB592 ,fb.me/ads ,IE ;16.10.2022 13:39:18 ;CashBack:0 EUR",Platba kartou,,
6,PF Cierna pani,2022-10-17,-520.0,EUR,,Platobný príkaz na úhradu / FIT 2.0 (EB),2022237,
7,,2022-10-17,-20.0,EUR,|||||,Poplatky ZPS,,
8,VLTAVA LABE MEDIA,2022-10-17,-1145.79,EUR,"BIC:RZBCCZPP|Zasl.suma221019CZK27551,7|Poplatok:SHA||2216000220|695",ZPS transakcia debet,,
9,PATRIK BLIZNIAK,2022-10-16,-500.0,EUR,,Platobný príkaz na úhradu / FIT 2.0 (EB),2022015,
10,Danko Ján,2022-10-16,2500.0,EUR,F001161020222405538,Bezhotovostný vklad,,
11,,2022-10-15,-93.3,EUR,"B1387848568-44544 12** **** 9473;FACEBK PK479GP492 ,fb.me/ads ,IE ;14.10.2022 02:23:45 ;CashBack:0 EUR",Platba kartou,,
12,,2022-10-14,-270.0,EUR,"B1386641494-44544 12** **** 9473;FACEBK XCWZWF3592 ,fb.me/ads ,IE ;12.10.2022 08:24:39 ;CashBack:0 EUR",Platba kartou,,
13,,2022-10-12,-181.01,EUR,"B1385282617-44544 12** **** 9473;FACEBK 3SAY5GP492 ,fb.me/ads ,IE ;10.10.2022 06:12:58 ;CashBack:0 EUR",Platba kartou,,
14,"Danko Ján,Danková Helena",2022-10-09,2000.0,EUR,F001091020225356059,Bezhotovostný vklad,,
15,,2022-10-09,-120.0,EUR,"B1383554532-44544 12** **** 9473;FACEBK F2DRMGX492 ,fb.me/ads ,IE ;07.10.2022 06:41:34 ;CashBack:0 EUR",Platba kartou,,
16,,2022-10-06,-120.0,EUR,"B1381603348-44544 12** **** 9473;FACEBK TURCKGX492 ,fb.me/ads ,IE ;04.10.2022 12:40:46 ;CashBack:0 EUR",Platba kartou,,
17,,2022-10-06,-20.0,EUR,|||||,Poplatky ZPS,,
18,VLTAVA LABE MEDIA,2022-10-06,-542.45,EUR,"BIC:RZBCCZPP|Zasl.suma221010CZK12995,4|Poplatok:SHA||2216000213|695",ZPS transakcia debet,,
