index,account_name,date,amount,currency,message,tx_type,vs,ss
0,FB Meta Bussines,2022-09-04,-150.0,EUR,,Platobný príkaz na úhradu / FIT 2.0 (EB),5056283225,
1,,2022-08-31,-5.0,EUR,Zverejňovanie účtu,Poplatok,,
2,,2022-08-31,-6.0,EUR,Poplatok za vedenie účtu,Poplatok,,
3,"Webygroup, s.r.o.",2022-08-05,-0.8,EUR,,Platobný príkaz na úhradu / FIT 2.0 (EB),202205950,
4,NOTPROVIDED,2022-08-01,-61.7,EUR,,Platobný príkaz na úhradu / FIT 2.0 (EB),5056283225,
5,,2022-07-31,-6.0,EUR,Poplatok za vedenie účtu,Poplatok,,
6,,2022-07-31,-5.0,EUR,Zverejňovanie účtu,Poplatok,,
7,"Webygroup, s.r.o.",2022-07-15,-778.0,EUR,,Platobný príkaz na úhradu / FIT 2.0 (EB),202205950,
8,,2022-06-30,-5.0,EUR,Zverejňovanie účtu,Poplatok,,
9,,2022-06-30,-2.8,EUR,Poplatok za vedenie účtu,Poplatok,,
10,BUCHTA JULIUS,2022-06-29,2000.0,EUR,22719986,Bezhotovostný vklad,,
11,"PayPal (Europe) S.a r.l. et Cie, S.C.A.",2022-06-27,0.09,EUR,YYR1020844797473 PAYPAL,Bezhotovostný vklad,,
12,"PayPal (Europe) S.a r.l. et Cie, S.C.A.",2022-06-27,0.09,EUR,YYR1020844797475 PAYPAL,Bezhotovostný vklad,,
13,BUCHTA JULIUS,2022-06-20,100.0,EUR,22639544,Bezhotovostný vklad,,
