index,account_name,date,amount,currency,message,tx_type,vs,ss
0,,2022-09-30,-5,EUR,Zverejňovanie účtu,Poplatok,,
1,,2022-08-31,-5,EUR,Zverejňovanie účtu,Poplatok,,
2,,2022-07-31,-5,EUR,Zverejňovanie účtu,Poplatok,,
3,,2022-06-30,-5,EUR,Zverejňovanie účtu,Poplatok,,
4,,2022-05-31,-5,EUR,Zverejňovanie účtu,Poplatok,,
5,,2022-04-30,-5,EUR,Zverejňovanie účtu,Poplatok,,
6,,2022-03-31,-5,EUR,Zverejňovanie účtu,Poplatok,,
7,TEONA s.r.o.,2022-03-14,-660,EUR,graficke spracovanie a tlac letaky+ pera,Platobný príkaz na úhradu / FIT 2.0 (EB),20220001,
8,,2022-02-28,-5,EUR,Zverejňovanie účtu,Poplatok,,
9,"Fibra print, s.r.o.",2022-02-24,-18,EUR,uhrada volebnych plagatov A2 na vyhradenu plochu pred OcU,Okamžitá platba (EB),2200153,
10,,2022-01-31,-5,EUR,Zverejňovanie účtu,Poplatok,,
