index,account_name,date,amount,currency,message,tx_type,vs,ss
0,"Štefánik Matúš, Ing.",2022-10-20,193.1,EUR,City light spolocny - kampan 2022 - Stefanik,Bezhotovostný vklad - okamžitá platba,,
1,Otokar Klein,2022-10-20,7000.0,EUR,Otokar Klein,Bezhotovostný vklad,,
2,"Václav Marián, Ing.",2022-10-20,127.5,EUR,Spolocna kampan volby 2022 Vaclav,Bezhotovostný vklad - okamžitá platba,,
3,Iveta Kališová,2022-10-20,193.1,EUR,City light spolocny Kalisova,Bezhotovostný vklad - okamžitá platba,121162,
4,Danis Štefan,2022-10-19,382.6,EUR,Spolocna kampan volby 2022 Danis,Bezhotovostný vklad,,
5,,2022-09-30,-5.0,EUR,Zverejňovanie účtu,Poplatok,,
6,,2022-09-30,-6.0,EUR,Poplatok za vedenie účtu,Poplatok,,
7,,2022-09-27,-6.0,EUR,Popl.Pl.Prík.na úh./Prev.EUR EHP/FIT(OM),Poplatok,2118200680,
8,NOTPROVIDED,2022-09-27,-800.0,EUR,Klein Otokar - reklama,Platobný príkaz na úhradu / FIT 2.0 (OM),2118200680,
9,,2022-08-31,-5.0,EUR,Zverejňovanie účtu,Poplatok,,
10,,2022-08-31,-6.0,EUR,Poplatok za vedenie účtu,Poplatok,,
11,,2022-07-31,-5.0,EUR,Zverejňovanie účtu,Poplatok,,
12,,2022-07-31,-6.0,EUR,Poplatok za vedenie účtu,Poplatok,,
13,,2022-06-30,-5.0,EUR,Zverejňovanie účtu,Poplatok,,
14,,2022-06-30,-6.0,EUR,Poplatok za vedenie účtu,Poplatok,,
15,,2022-05-31,-5.0,EUR,Zverejňovanie účtu,Poplatok,,
16,,2022-05-31,-6.0,EUR,Poplatok za vedenie účtu,Poplatok,,
17,,2022-04-30,-5.0,EUR,Zverejňovanie účtu,Poplatok,,
18,,2022-04-30,-6.0,EUR,Poplatok za vedenie účtu,Poplatok,,
19,,2022-03-31,-5.0,EUR,Zverejňovanie účtu,Poplatok,,
20,,2022-03-31,-6.0,EUR,Poplatok za vedenie účtu,Poplatok,,
21,,2022-02-28,-5.0,EUR,Zverejňovanie účtu,Poplatok,,
22,,2022-02-28,-5.9,EUR,Poplatok za vedenie účtu,Poplatok,,
23,,2022-01-31,-5.0,EUR,Zverejňovanie účtu,Poplatok,,
24,,2022-01-31,-5.9,EUR,Poplatok za vedenie účtu,Poplatok,,
25,,2021-12-31,-5.0,EUR,Zverejňovanie účtu,Poplatok,,
26,,2021-12-31,-5.9,EUR,Poplatok za vedenie účtu,Poplatok,,
27,,2021-11-30,-5.0,EUR,Zverejňovanie účtu,Poplatok,,
28,,2021-11-30,-5.9,EUR,Poplatok za vedenie účtu,Poplatok,,
29,,2021-10-31,-5.0,EUR,Zverejňovanie účtu,Poplatok,,
30,,2021-10-31,-5.9,EUR,Poplatok za vedenie účtu,Poplatok,,
31,,2021-09-30,-5.0,EUR,Zverejňovanie účtu,Poplatok,,
32,,2021-09-30,-5.9,EUR,Poplatok za vedenie účtu,Poplatok,,
33,,2021-08-31,-5.0,EUR,Zverejňovanie účtu,Poplatok,,
34,,2021-08-31,-5.9,EUR,Poplatok za vedenie účtu,Poplatok,,
35,,2021-07-31,-5.0,EUR,Zverejňovanie účtu,Poplatok,,
36,,2021-07-31,-5.9,EUR,Poplatok za vedenie účtu,Poplatok,,
37,,2021-06-30,-5.9,EUR,Poplatok za vedenie účtu,Poplatok,,
38,,2021-06-30,-5.0,EUR,Zverejňovanie účtu,Poplatok,,
39,,2021-05-31,-5.0,EUR,Zverejňovanie účtu,Poplatok,,
40,,2021-05-31,-5.9,EUR,Poplatok za vedenie účtu,Poplatok,,
41,,2021-04-30,-5.0,EUR,Zverejňovanie účtu,Poplatok,,
42,,2021-04-30,-5.9,EUR,Poplatok za vedenie účtu,Poplatok,,
43,,2021-03-31,-5.0,EUR,Zverejňovanie účtu,Poplatok,,
