index,account_name,date,amount,currency,message,tx_type,vs,ss
0,,2022-10-31,-5.0,EUR,Zverejňovanie účtu,Poplatok,,
1,,2022-10-31,-6.0,EUR,Poplatok za vedenie účtu,Poplatok,,
2,ONE,2022-10-26,-240.0,EUR,,Platobný príkaz na úhradu / FIT 2.0 (EB),2022430,
3,Print,2022-10-18,-107.35,EUR,5500474 ASK12272340,Platobný príkaz na úhradu / FIT 2.0 (EB),5500474,
4,Print,2022-10-14,-689.4,EUR,5500474 ASK12272340,Platobný príkaz na úhradu / FIT 2.0 (EB),5500474,
5,"Crkoň Pavol, JUDr.",2022-10-14,700.0,EUR,Volby 2022,Bezhotovostný vklad - okamžitá platba,,
6,Beel,2022-10-12,-720.0,EUR,,Platobný príkaz na úhradu / FIT 2.0 (EB),22394,
7,,2022-10-11,-10.0,EUR,Poplatok Potvrdenie o vykonaní prevodu,Poplatok,,
8,Print,2022-10-10,-689.18,EUR,5500474 ASK12272227,Platobný príkaz na úhradu / FIT 2.0 (EB),5500474,
9,"Crkoň Pavol, JUDr.",2022-10-09,1600.0,EUR,Volby 2022,Bezhotovostný vklad - okamžitá platba,9,
10,,2022-09-30,-6.0,EUR,Poplatok za vedenie účtu,Poplatok,,
11,,2022-09-30,-5.0,EUR,Zverejňovanie účtu,Poplatok,,
12,Zuzik,2022-09-21,-180.0,EUR,,Platobný príkaz na úhradu / FIT 2.0 (EB),2022366,
13,RETYP,2022-09-20,-229.2,EUR,0220920141707.733531,Okamžitá platba (EB),01092022,
14,"Crkoň Pavol, JUDr.",2022-09-19,1000.0,EUR,Volby,Bezhotovostný vklad - okamžitá platba,9,
