index,account_name,date,amount,currency,message,tx_type,vs,ss
0,"A.B. Piešťany, s.r.o.",2022-10-12,-124.76,EUR,"inzercia AB PY č. 38/2022, č. 39/2022",Platobný príkaz na úhradu / FIT 2.0 (EB),220100422,
1,"A.B. Piešťany, s.r.o.",2022-10-12,-303.54,EUR,"inzercia AB PY č. 35/2022, č. 36/2022",Platobný príkaz na úhradu / FIT 2.0 (EB),220100421,
2,"WINTER média, a. s.",2022-10-01,-163.0,EUR,Uverejnenie plošnej inzercie v týždenníku Piešťanský týždeň č. 42/2022,Platobný príkaz na úhradu / FIT 2.0 (EB),08422,
3,,2022-09-30,-5.0,EUR,Zverejňovanie účtu,Poplatok,,
4,,2022-08-31,-5.0,EUR,Zverejňovanie účtu,Poplatok,,
5,,2022-07-31,-5.0,EUR,Zverejňovanie účtu,Poplatok,,
6,,2022-06-30,-5.0,EUR,Zverejňovanie účtu,Poplatok,,
7,,2022-05-31,-5.0,EUR,Zverejňovanie účtu,Poplatok,,
8,KIOS a.s.,2022-05-30,-27.6,EUR,"Webhosting 2022,2023",Platobný príkaz na úhradu / FIT 2.0 (EB),1322063,
9,Peter Jančovič,2022-05-29,1600.0,EUR,Prevod medzi vlastnými účtami,Bezhotovostný vklad,,
