index,date,amount,account_name,message,vs
0,2022-10-31,6.0,,Odpustenie vedenie konta,9
1,2022-10-31,-6.0,,Vedenie konta Transparentný účet,9
2,2022-10-27,-48.78,Roman Porubský,Platba za reklamu na socialnej sieti Facebook Meta Platforms,
3,2022-10-26,-116.41,Roman Porubský,Platba za reklamu na socialnej sieti Facebook Meta Platforms,
4,2022-10-26,-135.0,3BC s.r.o. Bratislava,"Uhrada faktury: 20220030, graficke prace",20220030
5,2022-10-21,-120.0,Roman Porubský,"Prenajom priestorov, stretnutie s obcanmi, MsKS Surany",
6,2022-10-21,-40.0,Roman Porubský,"Tlac letakov, Frantisek Teglas SYNTEX, Nove Zamky",
7,2022-10-18,-46.5,Roman Porubský,"Jozef Subi,Novy Svet, obcerstvenie, stretnutie s obcanmi",
8,2022-10-12,-36.0,Roman Porubský,Platba za reklamu na socialnej sieti Facebook Meta Platforms,
9,2022-10-10,-239.41,3BC s.r.o. Bratislava,Uhrada faktury: 20220026 reklamne predmety,20220026
10,2022-09-30,6.0,,Odpustenie vedenie konta,9
11,2022-09-30,-6.0,,Vedenie konta Transparentný účet,9
12,2022-09-22,-450.0,Roman Porubský,"Leco fest Surany, obcerstvenie, tombola, tricka, sprievodny program",
13,2022-09-19,-56.68,Roman Porubský,Platba za reklamu na socialnej sieti Facebook Meta Platforms,700516
14,2022-09-19,-350.0,Spolok hudobníkov MAXIM,Uhrada faktury: 20220004 vystupenie hud.skupiny na Leco fest Surany,20220004
15,2022-09-16,-42.05,Roman Porubský,"/DO2022-09-16/SP Vyhotovenie diplomov, plagatov,medaili a vitaznych poharov na Leco fest Surany",
16,2022-08-31,6.0,,Odpustenie vedenie konta,9
17,2022-08-31,-6.0,,Vedenie konta Transparentný účet,9
18,2022-08-08,-120.0,František Téglás-Syntex,Vyhotovenie plagatov a bannerov,18
19,2022-07-29,6.0,,Odpustenie vedenie konta,9
20,2022-07-29,-6.0,,Vedenie konta Transparentný účet,9
21,2022-06-30,5.22,,Odpust.-popl.za platby a ved.úč/ko,9
22,2022-06-30,-0.22,,Poplatky za platby spolu,9
23,2022-06-30,-5.0,,Vedenie účtu,9
24,2022-06-28,-110.0,Roman Porubský,Obcerstvenie zraz veteranov Salianskych 100 km Surany 25.06.2022,
25,2022-06-14,3000.0,PORUBSKY ROMAN,Prispevok na volebnU kampan - Volby 2022,
