index,account_name,date,amount,currency,message,tx_type,vs,ss
0,,2022-10-07,-750.0,EUR,"B1382190272-44544 17** **** 5421;FACEBK 2B95WGXSW2 ,fb.me/ads ,IE ;05.10.2022 12:49:38 ;CashBack:0 EUR",Platba kartou,,
1,,2022-10-07,-0.2,EUR,Poplatok za platbu kartou,Poplatok za kartovú transakciu,,
2,"ISPA, SPOL. S R.O.",2022-10-04,-388.8,EUR,PV-zaloh.fa c.66-bilboardy,Platobný príkaz na úhradu / FIT 2.0 (EB),22950400,
3,ARTON s.r.o.,2022-10-04,-60.0,EUR,ZA-Zaloh. fa c.65-tla a vylep plagati,Platobný príkaz na úhradu / FIT 2.0 (EB),220723,
4,Mesto Lucenec,2022-10-04,-395.0,EUR,BB-FD-1639-inzercia,Platobný príkaz na úhradu / FIT 2.0 (EB),20220211,
5,Mesto Lucenec,2022-10-04,-195.25,EUR,BB-FD 1640-inzercia,Platobný príkaz na úhradu / FIT 2.0 (EB),20220212,
6,"Atalon, s.r.o.",2022-10-03,-1696.8,EUR,BA-FD-1632-polep auta,Platobný príkaz na úhradu / FIT 2.0 (EB),20220292,
7,"ISPA, SPOL. S R.O.",2022-10-03,-1752.0,EUR,BA-FD-1631-bigboard,Platobný príkaz na úhradu / FIT 2.0 (EB),20224375,
8,"ISPA, SPOL. S R.O.",2022-10-03,-3883.2,EUR,BA-FD-1630-bilboardy,Platobný príkaz na úhradu / FIT 2.0 (EB),20224216,
9,BIGMEDIA,2022-10-03,-810.0,EUR,ZA-zaloh.fa c.64-bilboardy,Platobný príkaz na úhradu / FIT 2.0 (EB),122290349,
10,GRYF REKLAMNE STUDIO,2022-10-03,-720.0,EUR,ZA-Zaloh.fa c.63-bilboardy,Platobný príkaz na úhradu / FIT 2.0 (EB),22160,
11,,2022-09-30,-5.0,EUR,Zverejňovanie účtu,Poplatok,,
12,,2022-09-30,-5.0,EUR,Poplatok za vedenie účtu,Poplatok,,
13,GRYF REKLAMNE STUDIO,2022-09-29,-720.0,EUR,ZA-Zaloh.fa c.62-bilboard,Platobný príkaz na úhradu / FIT 2.0 (EB),22161,
14,Spolok dychova hudba HORNAD,2022-09-29,-500.0,EUR,FD-1616-hudobne vystupenie-99,Platobný príkaz na úhradu / FIT 2.0 (EB),192022,
15,ARTON s.r.o.,2022-09-27,-2400.0,EUR,Zaloh. fa c.57- bilboard,Platobný príkaz na úhradu / FIT 2.0 (EB),220597,
16,PETIT PRESS,2022-09-27,-384.0,EUR,Zaloh. fa c. 58 - inzercia,Platobný príkaz na úhradu / FIT 2.0 (EB),2233101892,
17,PETIT PRESS,2022-09-27,-384.0,EUR,Zaloh. fa c.59 - inzercia,Platobný príkaz na úhradu / FIT 2.0 (EB),2233101904,
18,PETIT PRESS,2022-09-27,-960.0,EUR,Zaloh.fa c.60 - inzercia,Platobný príkaz na úhradu / FIT 2.0 (EB),2233101922,
19,"Creo advertising, s.r.o.",2022-09-27,-20000.0,EUR,Zaloh.fa c.61-prenajom reklam.ploch,Platobný príkaz na úhradu / FIT 2.0 (EB),2022016,
20,ARTON s.r.o.,2022-09-22,-108.0,EUR,Zaloh.fa c.54-prenajom reklam.priestoru-ZA,Platobný príkaz na úhradu / FIT 2.0 (EB),220579,
21,ARTON s.r.o.,2022-09-22,-20.4,EUR,Zalohova fa c.55-tlac bilboardu-ZA,Platobný príkaz na úhradu / FIT 2.0 (EB),220580,
22,Obec Breznicka,2022-09-22,-300.0,EUR,FD-1585-prenajom bilaboardu,Platobný príkaz na úhradu / FIT 2.0 (EB),42022,
23,PEMA STROJ s.r.o.,2022-09-22,-200.0,EUR,FD-1586-postavenie Vatry SNP,Platobný príkaz na úhradu / FIT 2.0 (EB),2022146,
24,Starski s.r.o.,2022-09-22,-1040.4,EUR,FD-1598-prenajom a tlac bilboardov,Platobný príkaz na úhradu / FIT 2.0 (EB),22020122,
25,,2022-09-21,-0.2,EUR,Poplatok za platbu kartou,Poplatok za kartovú transakciu,,
26,,2022-09-21,-448.05,EUR,"B1372599506-44544 17** **** 5421;FACEBK F8CSZG3TW2 ,fb.me/ads ,IE ;20.09.2022 00:13:18 ;CashBack:0 EUR",Platba kartou,,
