index,account_name,date,amount,currency,message,tx_type,vs,ss
0,FORK s.r.o.,2022-10-25,-1082.86,EUR,letáky 4600ks Uherčík,Platobný príkaz na úhradu / FIT 2.0 (EB),10225187,
1,regionpress s.r.o.,2022-10-25,-2004.0,EUR,letáky 18000ks Uherčík,Platobný príkaz na úhradu / FIT 2.0 (EB),264220013,
2,IMPERIA DESIGN s.r.o.,2022-10-25,-750.04,EUR,tlač a distribúcia letákov Drexler 10600 ks,Platobný príkaz na úhradu / FIT 2.0 (EB),2022001,
3,P&D UNIQUE s.r.o.,2022-10-25,-492.47,EUR,technicko materiálne zabezpečenie Kaplan,Platobný príkaz na úhradu / FIT 2.0 (EB),152022,
4,P&D UNIQUE s.r.o.,2022-10-25,-1077.0,EUR,"osviežovač vzduchu, handričky Vrchota",Platobný príkaz na úhradu / FIT 2.0 (EB),142022,
5,Michal Vaško - VYDAVATELSTVO,2022-10-25,-6000.0,EUR,"volebné noviny, kandidáti Prešovský kraj",Platobný príkaz na úhradu / FIT 2.0 (EB),2210046,
6,EPoS SB s.r.o.,2022-10-25,-902.0,EUR,"perá, zapaľovače, cukríky, náplaste pastelky, Molnárová",Platobný príkaz na úhradu / FIT 2.0 (EB),40000611,
7,DOLIS GOEN s.r.o.,2022-10-25,-264.0,EUR,"tlač kalendáriky 2500 ks, Laurenčík",Platobný príkaz na úhradu / FIT 2.0 (EB),22211642,
8,SIERA TRADE s.r.o.,2022-10-25,-1056.0,EUR,"tlač propagačných materiálov, Tanczos",Platobný príkaz na úhradu / FIT 2.0 (EB),220036,
9,JANTARES s.r.o.,2022-10-25,-240.0,EUR,"banner Matejka, Poruban",Platobný príkaz na úhradu / FIT 2.0 (EB),12210011,
10,JANTARES s.r.o.,2022-10-25,-1008.0,EUR,"prenájom reklamných plôch, bannery Matejka, Poruban",Platobný príkaz na úhradu / FIT 2.0 (EB),12210010,
11,reklama BARTOŠ s.r.o.,2022-10-25,-3036.96,EUR,reklamné utierky na okuliare Matejka,Platobný príkaz na úhradu / FIT 2.0 (EB),20221300,
