index,Unnamed: 0,account_name,date,amount,currency,message,tx_type,vs,ss
0,0,,2023-09-01,-0.25,EUR,Poplatok za platbu kartou,Poplatok za kartovú transakciu,,
1,1,,2023-09-01,-768.57,EUR,"B1608730529-44544 17** **** 8717;FACEBK *PMZS6SBG72 ,fb.me/ads ,IE ;30.08.2023 13:57:53 ;CashBack:0 EUR",Platba kartou,,
2,2,,2023-09-01,-0.25,EUR,Poplatok za platbu kartou,Poplatok za kartovú transakciu,,
3,3,,2023-09-01,-61.43,EUR,"B1608738846-44544 17** **** 8717;FACEBK *MHLUBSFG72 ,fb.me/ads ,IE ;30.08.2023 17:45:07 ;CashBack:0 EUR",Platba kartou,,
4,4,,2023-08-31,-5.0,EUR,Zverejňovanie účtu,Poplatok,,
5,5,,2023-08-31,-5.0,EUR,Poplatok za vedenie účtu,Poplatok,,
6,6,Fiantok Milan BRUFIA,2023-08-31,-1200.0,EUR,FD-1602-umelecky vykon,Platobný príkaz na úhradu / FIT 2.0 (EB),9.0,
7,7,SEDEM - reklamna agentura,2023-08-31,-4186.8,EUR,"FD-1646-plagaty, reklamne predmety",Platobný príkaz na úhradu / FIT 2.0 (EB),112300345.0,
8,8,,2023-08-30,-0.25,EUR,Poplatok za platbu kartou,Poplatok za kartovú transakciu,,
9,9,,2023-08-30,-785.09,EUR,"B1608281243-44544 17** **** 8717;FACEBK *GY48SRXF72 ,fb.me/ads ,IE ;29.08.2023 14:15:06 ;CashBack:0 EUR",Platba kartou,,
10,10,,2023-08-29,-0.25,EUR,Poplatok za platbu kartou,Poplatok za kartovú transakciu,,
11,11,,2023-08-29,-750.0,EUR,"B1607428658-44544 17** **** 8717;FACEBK *2AA2NS3H72 ,fb.me/ads ,IE ;28.08.2023 09:07:23 ;CashBack:0 EUR",Platba kartou,,
12,12,FIPEK s.r.o.,2023-08-29,-181.44,EUR,FD-1628-volebny stanok na zempl.jarmoku,Platobný príkaz na úhradu / FIT 2.0 (EB),2023003998.0,
13,13,Nadacia Slovenskeho futbaloveho zva,2023-08-29,-1500.0,EUR,FD-1627-technicke zabezpecenie sport.podujatia,Platobný príkaz na úhradu / FIT 2.0 (EB),2023003.0,
14,14,M.D.N s.r.o.,2023-08-29,-493.2,EUR,FD-1626-tricka a poloksele s logom,Platobný príkaz na úhradu / FIT 2.0 (EB),23020045.0,
15,15,"TAMPEX PRE OV, SPOL.",2023-08-29,-126.0,EUR,FD-1608-podpiskarty,Platobný príkaz na úhradu / FIT 2.0 (EB),2301096.0,
16,16,Harcar Stefan - STEEVEPRESS,2023-08-29,-12.0,EUR,FD-1607-zhotovenie letakov,Platobný príkaz na úhradu / FIT 2.0 (EB),20230808.0,
17,17,Mesto Bardejov,2023-08-29,-18.9,EUR,FD-1606-dan za uzivanie verejneho priestranstva,Platobný príkaz na úhradu / FIT 2.0 (EB),2929300041.0,
18,18,Erika Michalcinova - REKLAMA,2023-08-29,-350.04,EUR,FD-1605-marketing.sluzby,Platobný príkaz na úhradu / FIT 2.0 (EB),20230803.0,
19,19,"TAMPEX PRE OV, SPOL.",2023-08-29,-496.37,EUR,FD-1604-polokosele s logom,Platobný príkaz na úhradu / FIT 2.0 (EB),2301119.0,
20,20,PRIMA-PRINT,2023-08-29,-165.6,EUR,FD-1603-pozvanky,Platobný príkaz na úhradu / FIT 2.0 (EB),202307028.0,
21,21,Fobos trading s.r.o.,2023-08-29,-10516.8,EUR,FD-1599-podpis karty a merkantil,Platobný príkaz na úhradu / FIT 2.0 (EB),3110310135.0,
22,22,Pohostinstvo Mihalikova Adriana,2023-08-29,-490.06,EUR,FD-1598-prenajom priestoru,Platobný príkaz na úhradu / FIT 2.0 (EB),202300121.0,
23,23,"EKO HOLDING Slovakia, s.r.o.",2023-08-29,-1118.0,EUR,"FD-1597-zabezpec.akcie-ozvucenie,letaky,stan,malov.na tvar",Platobný príkaz na úhradu / FIT 2.0 (EB),2023002.0,
24,24,Premier media s.r.o.,2023-08-29,-4000.0,EUR,FD-1596-vyroba reklam.novin,Platobný príkaz na úhradu / FIT 2.0 (EB),12023.0,
25,25,"Marketing & Printing solutions,s.r.",2023-08-29,-10200.0,EUR,Zal.fa c.53-merkantil,Platobný príkaz na úhradu / FIT 2.0 (EB),30230002.0,
26,26,Blahovec Stefan,2023-08-29,-0.01,EUR,Blahovec Stefan-vratenie daru zo dna 15.08.2023,Platobný príkaz na úhradu / FIT 2.0 (EB),15082023.0,
