index,account_name,date,amount,currency,message,tx_type,vs,ss
0,,2022-11-03,-6.0,EUR,Popl.Pl.Prík.na úh./Prev.EUR EHP/FIT(OM),Poplatok,202210016,
1,Global 333 s.r.o.,2022-11-03,-199.0,EUR,doména,Platobný príkaz na úhradu / FIT 2.0 (OM),202210016,
2,,2022-10-31,-5.0,EUR,Zverejňovanie účtu,Poplatok,,
3,,2022-10-31,-4.0,EUR,Poplatok za vedenie účtu,Poplatok,,
4,,2022-10-25,-6.0,EUR,Popl.Pl.Prík.na úh./Prev.EUR EHP/FIT(OM),Poplatok,2022000009,2022000009
5,NOTPROVIDED,2022-10-25,-18.0,EUR,Hlásenie MR,Platobný príkaz na úhradu / FIT 2.0 (OM),2022000009,2022000009
6,,2022-10-25,-6.0,EUR,Popl.Pl.Prík.na úh./Prev.EUR EHP/FIT(OM),Poplatok,17,
7,NOTPROVIDED,2022-10-25,-300.0,EUR,Hudobná produkcia,Platobný príkaz na úhradu / FIT 2.0 (OM),17,
8,,2022-10-25,-6.0,EUR,Popl.Pl.Prík.na úh./Prev.EUR EHP/FIT(OM),Poplatok,0112022,
9,NOTPROVIDED,2022-10-25,-1250.0,EUR,Občerstvenie,Platobný príkaz na úhradu / FIT 2.0 (OM),0112022,
10,,2022-10-25,-6.0,EUR,Popl.Pl.Prík.na úh./Prev.EUR EHP/FIT(OM),Poplatok,18522,
11,NOTPROVIDED,2022-10-25,-1544.4,EUR,Letáky,Platobný príkaz na úhradu / FIT 2.0 (OM),18522,
12,Štefan Gašparovič,2022-10-25,1000.0,EUR,VOLBY,Bezhotovostný vklad,,
13,,2022-10-05,-6.0,EUR,Popl.Pl.Prík.na úh./Prev.EUR EHP/FIT(OM),Poplatok,15822,
14,NOTPROVIDED,2022-10-05,-495.0,EUR,,Platobný príkaz na úhradu / FIT 2.0 (OM),15822,
15,,2022-09-30,-5.0,EUR,Zverejňovanie účtu,Poplatok,,
16,,2022-09-30,-4.0,EUR,Poplatok za vedenie účtu,Poplatok,,
17,Štefan Gašparovič,2022-09-09,3500.0,EUR,VOLBY,Bezhotovostný vklad,,
18,,2022-08-31,-5.0,EUR,Zverejňovanie účtu,Poplatok,,
19,,2022-08-31,-4.0,EUR,Poplatok za vedenie účtu,Poplatok,,
20,,2022-07-31,-5.0,EUR,Zverejňovanie účtu,Poplatok,,
21,,2022-07-31,-0.52,EUR,Poplatok za vedenie účtu,Poplatok,,
22,Štefan Gašparovič,2022-07-28,100.0,EUR,VOLBY,Bezhotovostný vklad,,
