name,num_incoming,num_outgoing,sum_incoming,sum_outgoing,balance,mean_donation,mean_spend,num_unique_donors,mean_donation_per_unique_donor,label,timestamp,url,typ volieb,samospráva,party,account,party_account
DOBRÁ VOĽBA a Umiernení,2.0,7.0,90000.0,-77638.54999999999,12361.450000000012,45000.0,-11091.221428571427,1.0,90000.0,PS,1664355283.849426,https://www.transparentneucty.sk/#/ucet/SK9309000000005193555063,,,,,
DOMOV národná strana,4.0,9.0,5018.0,-944.4300000000001,4073.5699999999997,1254.5,-104.93666666666667,2.0,2509.0,PS,1664355283.862083,https://ib.vub.sk/pch/transparentne-ucty?iban=SK0802000000004624586159,,,,,
HLAS - sociálna demokracia,3.0,11.0,60478.0,-56947.119999999995,3530.8800000000047,20159.333333333332,-5177.010909090909,3.0,20159.333333333332,PS,1664355283.931403,https://www.transparentneucty.sk/#/ucet/SK2309000000005192332474,,,,,
Komunistická strana Slovenska,2.0,2.0,224.0,-6.13,217.87,112.0,-3.065,2.0,112.0,PS,1664355283.939198,https://www.transparentneucty.sk/#/ucet/SK4809000000005193974137,,,,,
Kotlebovci - Ľudová strana Naše Slovensko,16.0,102.0,165600.03999999998,-160675.98000000004,4924.0599999999395,10350.002499999999,-1575.2547058823534,5.0,33120.007999999994,PS,1664355284.019826,https://www.transparentneucty.sk/#/ucet/SK0209000000005187339874,,,,,
Kresťanskodemokratické hnutie,45.0,65.0,115383.0,-101351.48,14031.520000000004,2564.0666666666666,-1559.2535384615385,40.0,2884.575,PS,1664355284.083148,https://www.transparentneucty.sk/#/ucet/SK0709000000005191733399,,,,,
ODS - Občianski demokrati Slovenska,4.0,8.0,570.0,-37.58,532.42,142.5,-4.6975,3.0,190.0,PS,1664355284.092854,https://www.transparentneucty.sk/#/ucet/SK0709000000005190700640,,,,,
"OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO), NOVA, Kresťanská únia (KÚ), ZMENA ZDOLA",7.0,137.0,801560.4,-618033.4199999999,183526.9800000001,114508.62857142858,-4511.1928467153275,3.0,267186.8,PS,1664355284.192254,https://www.transparentneucty.sk/#/ucet/SK3809000000005188927504,,,,,
PROGRESÍVNE SLOVENSKO,4.0,42.0,14345.0,-12905.999999999998,1439.0000000000018,3586.25,-307.2857142857142,3.0,4781.666666666667,PS,1664355284.202353,https://www.transparentneucty.sk/#/ucet/SK5709000000005192786986,,,,,
REPUBLIKA,53.0,75.0,58977.26,-58591.15,386.1100000000006,1112.7784905660378,-781.2153333333333,34.0,1734.6252941176472,PS,1664355284.302606,https://ib.vub.sk/pch/transparentne-ucty?iban=SK4102000000004570401656,,,,,
