index,name,num_incoming,num_outgoing,sum_incoming,sum_outgoing,balance,mean_donation,mean_spend,num_unique_donors,mean_donation_per_unique_donor,label,timestamp
0,HLAS - sociálna demokracia,0,0,0.0,0.0,0.0,-1.0,-1.0,0,-1.0,PS,1659003098.452199
1,Kotlebovci - Ľudová strana Naše Slovensko,7,35,83261.7,-67180.07999999999,16081.62000000001,11894.528571428571,-1919.4308571428567,2,41630.85,PS,1659003098.463431
2,Kresťanskodemokratické hnutie,5,10,83000.0,-80673.17,2326.8300000000017,16600.0,-8067.317,2,41500.0,PS,1659003098.470958
3,"OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO), NOVA, Kresťanská únia (KÚ), ZMENA ZDOLA",3,38,400000.0,-380950.98,19049.02000000002,133333.33333333334,-10025.025789473684,2,200000.0,PS,1659003098.477988
4,PROGRESÍVNE SLOVENSKO,3,10,10045.0,-4451.0,5594.0,3348.3333333333335,-445.1,3,3348.3333333333335,PS,1659003098.483835
5,REPUBLIKA,10,20,16723.0,-14313.150000000001,2409.8499999999985,1672.3,-715.6575,3,5574.333333333333,PS,1659003098.490292
6,Sloboda a Solidarita,9,106,150029.0,-134659.37,15369.630000000005,16669.88888888889,-1270.3714150943397,2,75014.5,PS,1659003098.5023518
7,SME RODINA,6,120,330000.0,-328644.64,1355.359999999986,55000.0,-2738.7053333333333,1,330000.0,PS,1659003098.510091
8,SMER - sociálna demokracia,4,20,500000.0,-25660.55,474339.45,125000.0,-1283.0275,1,500000.0,PS,1659003098.5158222
9,SPOLU - občianska demokracia,2,13,34100.0,-9828.91,24271.09,17050.0,-756.0699999999999,2,17050.0,PS,1659003098.525285
10,Team Bratislava,8,33,35599.92,-25311.95,10287.969999999998,4449.99,-767.0287878787879,8,4449.99,PS,1659003098.535653
11,Sandra Benko,2,3,120.0,-53.66,66.34,60.0,-17.886666666666667,2,60.0,BA,1659003098.541437
12,Matúš Čupka,16,29,10353.41,-5740.53,4612.88,647.088125,-197.94931034482758,14,739.5292857142857,BA,1659003098.549459
13,Marek Dinuš,2,5,350.0,-135.16000000000003,214.83999999999997,175.0,-27.032000000000004,1,350.0,BA,1659003098.555614
14,Michal Drotován,32,2,7206.22,-1170.0,6036.22,225.194375,-585.0,21,343.15333333333336,BA,1659003098.566072
15,Martin Kližan,7,13,28500.420000000002,-19761.75,8738.670000000002,4071.4885714285715,-1520.1346153846155,2,14250.210000000001,BA,1659003098.571607
16,Tomáš Lukačovský,14,10,1287.0,-383.90000000000003,903.0999999999999,91.92857142857143,-38.39,9,143.0,BA,1659003098.576958
17,Juraj Petrakovič,8,1,1350.0,-576.0,774.0,168.75,-576.0,8,168.75,BA,1659003098.5818481
18,Eva Pilátová,9,16,9806.54,-4575.97,5230.570000000001,1089.6155555555556,-285.998125,8,1225.8175,BA,1659003098.586869
19,Ján Polakovič,7,18,5400.0,-3886.44,1513.56,771.4285714285714,-215.91333333333333,7,771.4285714285714,BA,1659003098.598248
20,Róbert Šegeda,2,2,205.0,-14.0,191.0,102.5,-7.0,1,205.0,BA,1659003098.604631
21,Matej Vagač,63,35,27725.0,-10802.55,16922.45,440.07936507936506,-308.6442857142857,46,602.7173913043479,BA,1659003098.611116
22,Vladimíra Vydrová,4,0,470.0,0.0,470.0,117.5,-1.0,3,156.66666666666666,BA,1659003098.616616
23,Zuzana Bošnáková,4,17,13500.0,-1211.4,12288.6,3375.0,-71.25882352941177,2,6750.0,TT,1659003098.623009
24,Peter Bročka,32,55,15725.0,-1636.8000000000002,14088.2,491.40625,-29.76,19,827.6315789473684,TT,1659003098.634819
25,Ondrej Kurbel,6,4,6779.58,-205.0,6574.58,1129.93,-51.25,5,1355.916,TT,1659003098.640238
26,Matej Lančarič,4,5,800.0,-54.02000000000001,745.98,200.0,-10.804000000000002,4,200.0,TT,1659003098.645843
27,Csaba Orosz,21,7,11300.0,-2069.0,9231.0,538.0952380952381,-295.57142857142856,20,565.0,TT,1659003098.6519911
28,František Sztruhár,2,1,205.0,-5.0,200.0,102.5,-5.0,1,205.0,TT,1659003098.658155
29,Jaroslav Baška,12,1,15200.0,-320.0,14880.0,1266.6666666666667,-320.0,12,1266.6666666666667,TN,1659003098.66781
30,Branislav Gigac,11,0,415.0,0.0,415.0,37.72727272727273,-1.0,11,37.72727272727273,TN,1659003098.673185
31,Silvia Grúberová,5,3,1570.0,-792.2,777.8,314.0,-264.06666666666666,3,523.3333333333334,TN,1659003098.67876
32,Katarína Heneková,5,5,1373.0,-325.4,1047.6,274.6,-65.08,4,343.25,TN,1659003098.683413
33,Miroslava Hudecová,2,2,1005.0,-8.5,996.5,502.5,-4.25,1,1005.0,TN,1659003098.6896582
34,Zuzana Hujsiová,1,12,100.0,-299.37,-199.37,100.0,-24.9475,1,100.0,TN,1659003098.6995158
