index,name,num_incoming,num_outgoing,sum_incoming,sum_outgoing,balance,mean_donation,mean_spend,num_unique_donors,mean_donation_per_unique_donor,label,timestamp,url,typ_volieb,samosprava,stranicky_ucet,strana,label_right,vysledok
0,Matúš Čupka,96.0,117.0,33868.31,-33243.14,625.1699999999983,352.7948958333333,-284.1294017094017,87.0,389.2909195402299,BA,1669068700.43054,https://ib.fio.sk/ib/transparent?a=2102105267,miestne,Bratislava - Nové Mesto,,"Team Bratislava, Progresívne Slovensko, SaS",BA,zvolený
1,Michal Drotován,50.0,12.0,9819.220000000001,-9204.150000000001,615.0699999999997,196.38440000000003,-767.0125000000002,32.0,306.85062500000004,BA,1669068700.438941,https://ib.fio.sk/ib/transparent?a=2002202561,miestne,Bratislava - Rača,,nezávislý kandidát,BA,zvolený
2,Šimon Gabura,12.0,20.0,1893.0,-1835.83,57.17000000000007,157.75,-91.7915,1.0,1893.0,BA,1669068700.455165,https://ib.vub.sk/pch/transparentne-ucty?iban=SK8002000000004633324951,miestne,Svätý Jur,,KDH,BA,zvolený
3,Štefan Gašparovič,3.0,20.0,4600.0,-3874.92,725.0799999999999,1533.3333333333333,-193.746,1.0,4600.0,BA,1669068700.467148,https://www.transparentneucty.sk/#/ucet/SK8009000000005193340636,miestne,Slovenský Grob,,Hlas - sociálna demokracia,BA,zvolený
4,Martin Chren,8.0,23.0,72100.0,-56888.39,15211.61,9012.5,-2473.4082608695653,5.0,14420.0,BA,1669068700.4828439,https://www.transparentneucty.sk/#/ucet/SK5909000000005188209617,miestne,Bratislava - Ružinov,,TÍM RUŽINOV,BA,zvolený
5,Dárius Krajčír,8.0,10.0,4612.0,-4412.32,199.6800000000003,576.5,-441.23199999999997,4.0,1153.0,BA,1669068700.494127,https://www.transparentneucty.sk/#/ucet/SK5609000000005194603426,miestne,Bratislava - Devínska Nová Ves,,SOM Slovensko,BA,zvolený
6,Roman Lamoš,22.0,45.0,16300.0,-16275.69,24.30999999999949,740.9090909090909,-361.682,1.0,16300.0,BA,1669068700.5289721,https://www.transparentneucty.sk/#/ucet/SK3509000000005191445872,miestne,Bratislava - Podunajské Biskupice,,"Team Bratislava, Progresívne Slovensko, SaS",BA,zvolený
7,Vladimír Letenay,4.0,15.0,2215.4,-2541.4,-326.0,553.85,-169.42666666666668,1.0,2215.4,BA,1669068700.5360892,https://ib.fio.sk/ib/transparent?a=2101782450,miestne,Ivanka pri Dunaji,,nezávislý kandidát,BA,zvolený
8,Roman Mács,16.0,72.0,14560.0,-14132.66,427.34000000000015,910.0,-196.28694444444443,9.0,1617.7777777777778,BA,1669068700.570202,https://www.transparentneucty.sk/#/ucet/SK3609000000005187489418,miestne,Pezinok,,nezávislý kandidát,BA,zvolený
9,Peter Novisedlák,4.0,16.0,9180.0,-9140.41,39.590000000000146,2295.0,-571.275625,1.0,9180.0,BA,1669068700.589149,https://www.transparentneucty.sk/#/ucet/SK1109000000005193515993,miestne,Stupava,,SOM Slovensko,BA,zvolený
